H* Data,H* Data,H* Data,H* Data,H* Data,H* Data,H* Data,,O* Data,O* Data,O* Data,O* Data,O* Data,O* Data,,OH* Data,OH* Data,OH* Data,OH* Data,OH* Data,OH* Data
Metals,Facet,Config,Site Fraction,Eads (eV),Adsorbed Surface Eform (eV),Surface Only Eform (eV),,Metals,Facet,Config,Site Fraction,Eads (eV),Adsorbed Surface Eform (eV),,Metals,Facet,Config,Site Fraction,Eads (eV),Adsorbed Surface Eform (eV)
Pt,111,Top,NA,-0.3197465,NA,NA,,Pt,111,FCC,NA,-0.9588755,NA,,Pt,111,TOP-TILT,NA,-1.367949,NA
Pt,100,BRI,NA,-0.4644905,NA,NA,,Pt,100,BRI,NA,-0.9488955,NA,,Pt,100,BRI-TILT,NA,-1.911688,NA
Pt,110,TOP,NA,-0.4515695,NA,NA,,Pt,110,SB,NA,-1.1409965,NA,,Pt,110,SB-TILT,NA,-1.988664,NA
Ni,111,FCC,NA,-0.4000215,4.2301269,4.6301484,,Ni,111,FCC,NA,-2.1409975,2.4891509,,Ni,111,FCC,NA,-2.268451,2.3616974
Ni,100,HOL,NA,-0.3408085,5.8825999,6.2234084,,Ni,100,HOL,NA,-2.3477035,3.8757049,,Ni,100,BRI-TILT,NA,-2.499,3.7244084
Ni,110,SB,NA,-0.2496795,8.7665265,9.016206,,Ni,110,SB,NA,-1.8228475,7.1933585,,Ni,110,SB-TILT,NA,-2.643009,6.373197
NiAg,111,surf-close,0.75,-0.3954465,4.413069,4.8085155,,NiAg,111,surf-close,0.75,-2.0515575,2.756958,,NiAg,111,surf-close,0.75,-1.922125,2.8863905
NiAg,111,surf-far,0.25,-0.4058445,4.402671,4.8085155,,NiAg,111,surf-far,0.25,-2.1714445,2.637071,,NiAg,111,surf-far,0.25,-2.04699,2.7615255
NiAg,111,sub-close,0.75,-0.4493085,5.495565,5.9448735,,NiAg,111,sub-close,0.75,-2.2274845,3.717389,,NiAg,111,sub-close,0.75,-2.33064,3.6142335
NiAg,111,sub-far,0.25,-0.4547475,5.490126,5.9448735,,NiAg,111,sub-far,0.25,-2.2371175,3.707756,,NiAg,111,sub-far,0.25,-2.231857,3.7130165
NiAg,100,surf,1,-0.2903495,5.808335,6.0986845,,NiAg,100,surf,1,-2.1841755,3.914509,,NiAg,100,surf-close,0.5,-2.027791,4.0708935
NiAg,100,sub-close,0.25,-0.3090115,7.195317,7.5043285,,NiAg,100,sub-close,0.25,-2.4794455,5.024883,,NiAg,100,surf-far,0.5,-2.335364,3.7633205
NiAg,100,sub-adj,0.5,-0.3976205,7.106708,7.5043285,,NiAg,100,sub-adj,0.5,-2.4735635,5.030765,,NiAg,100,sub-close,0.5,-2.604287,4.9000415
NiAg,100,sub-diag,0.25,-0.3795915,7.124737,7.5043285,,NiAg,100,sub-diag,0.25,-2.4188945,5.085434,,NiAg,100,sub-far,0.5,-2.504928,4.9994005
NiAg,110,surf-close,0.5,-0.0620435,8.7564696,8.8185131,,NiAg,110,surf-close,0.5,-1.1137015,7.7048116,,NiAg,110,surf-close,0.5,-2.316633,6.5018801
NiAg,110,surf-far,0.5,-0.2523805,8.5661326,8.8185131,,NiAg,110,surf-far,0.5,-1.8460475,6.9724656,,NiAg,110,surf-far,0.5,-2.617521,6.2009921
NiAg,110,sub-close,0.5,-0.2805145,9.5509506,9.8314651,,NiAg,110,sub-close,0.5,-1.8958025,7.9356626,,NiAg,110,sub-close,0.5,-2.67261,7.1588551
NiAg,110,sub-far,0.5,-0.3164455,9.5150196,9.8314651,,NiAg,110,sub-far,0.5,-1.8805495,7.9509156,,NiAg,110,sub-far,0.5,-2.754725,7.0767401
NiAu,111,surf-close,0.75,-0.1113835,4.2031002,4.3144837,,NiAu,111,surf-close,0.75,-1.6587095,2.6557742,,NiAu,111,surf-close,0.75,-1.785294,2.5291897
NiAu,111,surf-far,0.25,-0.2975885,4.0168952,4.3144837,,NiAu,111,surf-far,0.25,-1.8208895,2.4935942,,NiAu,111,surf-far,0.25,-1.925762,2.3887217
NiAu,111,sub-close,0.75,-0.4456085,5.0214152,5.4670237,,NiAu,111,sub-close,0.75,-2.2215445,3.2454792,,NiAu,111,sub-close,0.75,-2.337753,3.1292707
NiAu,111,sub-far,0.25,-0.4986925,4.9683312,5.4670237,,NiAu,111,sub-far,0.25,-2.3399535,3.1270702,,NiAu,111,sub-far,0.25,-2.35771,3.1093137
NiAu,100,surf,1,-0.2443015,5.5000082,5.7443097,,NiAu,100,surf,1,-2.0148885,3.7294212,,NiAu,100,surf-close,0.5,-1.767682,3.9766277
NiAu,100,sub-close,0.25,-0.2113075,6.7438282,6.9551357,,NiAu,100,sub-close,0.25,-2.2784145,4.6767212,,NiAu,100,surf-far,0.5,-2.298766,3.4455437
NiAu,100,sub-adj,0.5,-0.3832855,6.5718502,6.9551357,,NiAu,100,sub-adj,0.5,-2.4260155,4.5291202,,NiAu,100,sub-close,0.5,-2.589722,4.3654137
NiAu,100,sub-diag,0.25,-0.4276635,6.5274722,6.9551357,,NiAu,100,sub-diag,0.25,-2.5092315,4.4459042,,NiAu,100,sub-far,0.5,-2.536604,4.4185317
NiAu,110,surf-close,0.5,-0.0475095,8.4638078,8.5113173,,NiAu,110,surf-close,0.5,-0.8172565,7.6940608,,NiAu,110,surf-close,0.5,-1.988226,6.5230913
NiAu,110,surf-far,0.5,-0.2462635,8.2650538,8.5113173,,NiAu,110,surf-far,0.5,-1.8298565,6.6814608,,NiAu,110,surf-far,0.5,-2.662475,5.8488423
NiAu,110,sub-close,0.5,-0.2133575,8.9918888,9.2052463,,NiAu,110,sub-close,0.5,-1.7413915,7.4638548,,NiAu,110,sub-close,0.5,-2.577371,6.6278753
NiAu,110,sub-far,0.5,-0.3054725,8.8997738,9.2052463,,NiAu,110,sub-far,0.5,-1.8372465,7.3679998,,NiAu,110,sub-far,0.5,-2.697161,6.5080853
NiCo,111,surf-close,0.75,-0.3684835,4.3689495,4.737433,,NiCo,111,surf-close,0.75,-2.2451265,2.4923065,,NiCo,111,surf-close,0.75,-2.343475,2.393958
NiCo,111,surf-far,0.25,-0.4032145,4.3342185,4.737433,,NiCo,111,surf-far,0.25,-2.0505205,2.6869125,,NiCo,111,surf-far,0.25,-2.183735,2.553698
NiCo,111,sub-close,0.75,-0.3951535,4.1869785,4.582132,,NiCo,111,sub-close,0.75,-2.1194375,2.4626945,,NiCo,111,sub-close,0.75,-2.259245,2.322887
NiCo,111,sub-far,0.25,-0.3452175,4.2369145,4.582132,,NiCo,111,sub-far,0.25,-1.9731465,2.6089855,,NiCo,111,sub-far,0.25,-2.159176,2.422956
NiCo,100,surf,1,-0.3039975,6.0637985,6.367796,,NiCo,100,surf,1,-2.4302315,3.9375645,,NiCo,100,surf-close,0.5,-2.589445,3.778351
NiCo,100,sub-close,0.25,-0.3299075,5.8452495,6.175157,,NiCo,100,sub-close,0.25,-2.3290895,3.8460675,,NiCo,100,surf-far,0.5,-2.470019,3.897777
NiCo,100,sub-adj,0.5,-0.3272405,5.8479165,6.175157,,NiCo,100,sub-adj,0.5,-2.3600075,3.8151495,,NiCo,100,sub-close,0.5,-2.477149,3.698008
NiCo,100,sub-diag,0.25,-0.3051355,5.8700215,6.175157,,NiCo,100,sub-diag,0.25,-2.2625055,3.9126515,,NiCo,100,sub-far,0.5,-2.470323,3.704834
NiCo,110,surf-close,0.5,-0.2269205,8.8732041,9.1001246,,NiCo,110,surf-close,0.5,-2.0404975,7.0596271,,NiCo,110,surf-close,0.5,-2.769881,6.3302436
NiCo,110,surf-far,0.5,-0.2319415,8.8681831,9.1001246,,NiCo,110,surf-far,0.5,-1.8005985,7.2995261,,NiCo,110,surf-far,0.5,-2.607276,6.4928486
NiCo,110,sub-close,0.5,-0.2462435,8.7490911,8.9953346,,NiCo,110,sub-close,0.5,-1.7873005,7.2080341,,NiCo,110,sub-close,0.5,-2.62384,6.3714946
NiCo,110,sub-far,0.5,-0.2307925,8.7645421,8.9953346,,NiCo,110,sub-far,0.5,-1.7929795,7.2023551,,NiCo,110,sub-far,0.5,-2.647758,6.3475766
NiCu,111,surf-close,0.75,-0.3328355,4.2316588,4.5644943,,NiCu,111,surf-close,0.75,-1.8370105,2.7274838,,NiCu,111,surf-close,0.75,-2.182742,2.3817523
NiCu,111,surf-far,0.25,-0.4497555,4.1147388,4.5644943,,NiCu,111,surf-far,0.25,-2.2984365,2.2660578,,NiCu,111,surf-far,0.25,-2.313098,2.2513963
NiCu,111,sub-close,0.75,-0.4248765,4.3591818,4.7840583,,NiCu,111,sub-close,0.75,-2.1583355,2.6257228,,NiCu,111,sub-close,0.75,-2.278173,2.5058853
NiCu,111,sub-far,0.25,-0.4091115,4.3749468,4.7840583,,NiCu,111,sub-far,0.25,-2.1266775,2.6573808,,NiCu,111,sub-far,0.25,-2.136077,2.6479813
