O* Data,O* Data,O* Data,O* Data,O* Data,O* Data,,OH* Data,OH* Data,OH* Data,OH* Data,OH* Data,OH* Data
Metals,Facet,Config,Site Fraction,Eads (eV/adsorbate),Adsorbed Surface Eform (eV/adsorbate),,Metals,Facet,Config,Site Fraction,Eads (eV/adsorbate),Adsorbed Surface Eform (eV/adsorbate)
NiAu,111,surf-2touch,0.5,-0.3449095,1.81233235,,NiAu,111,surf-0touch,0.5,-1.588074,0.56916785
NiAu,111,surf-1touch,0.5,-1.328857,0.82838485,,NiAu,111,surf-1touch,0.5,-1.620252,0.53698985
NiAu,111,sub-2touch,0.5,-1.6907125,1.04279935,,NiAu,111,sub-1touch,0.5,-2.1449445,0.58856735
NiAu,111,sub-1touch,0.5,-1.740442,0.99306985,,NiAu,111,sub-2touch,0.5,-2.1732375,0.56027435
NiAu,100,surf-row,0.5,-1.135106,1.73704885,,NiAu,100,surf,1,-2.1437465,0.72840835
NiAu,100,surf-diag,0.5,-1.229169,1.64298585,,NiAu,100,sub-0touch,0.5,-2.6365775,0.84099035
NiAu,100,sub-row-near,0.333333333,-1.6940755,1.78349235,,NiAu,100,sub-2touch,0.5,-2.649513,0.82805485
NiAu,100,sub-row-far,0.333333333,-1.8242315,1.65333635,,NiAu,110,surf,1,-2.416308,1.83935065
NiAu,100,sub-diag-near,0.166666667,-2.1138265,1.36374135,,NiAu,110,sub-near,0.5,-2.689896,1.91272715
NiAu,100,sub-diag-far,0.166666667,-2.1827565,1.29481135,,NiAu,110,sub-far,0.5,-2.750815,1.85180815
NiAu,110,surf-0touch,0.166666667,-1.180981,3.07467765,,NiCu,111,surf-0touch,0.5,-1.958373,0.32387415
NiAu,110,surf-2touch,0.166666667,0.0005845,4.25624315,,NiCu,111,surf-1touch,0.5,-1.92693,0.35531715
NiAu,110,surf-across,0.666666667,-1.287337,2.96832165,,NiCu,111,sub-1touch,0.5,-2.0644645,0.32756465
NiAu,110,sub-row,0.333333333,-2.0261075,2.57651565,,NiCu,111,sub-2touch,0.5,-2.0254365,0.36659265
NiAu,110,sub-across,0.666666667,-1.68859,2.91403315,,NiCu,100,surf,1,-2.4796895,0.53326665
NiCu,111,surf-2touch,0.5,-1.1824655,1.09978165,,NiCu,100,sub-0touch,0.5,-2.584683,0.63337665
NiCu,111,surf-1touch,0.5,-1.419201,0.86304615,,NiCu,100,sub-2touch,0.5,-2.6502075,0.56785215
NiCu,111,sub-2touch,0.5,-1.6565935,0.73543565,,NiCu,110,surf,1,-2.667612,1.75068595
NiCu,111,sub-1touch,0.5,-1.6324525,0.75957665,,NiCu,110,sub-near,0.5,-2.789362,1.78267895
NiCu,100,surf-row,0.5,-1.534812,1.47814415,,NiCu,110,sub-far,0.5,-2.764236,1.80780495
NiCu,100,surf-diag,0.5,-1.876914,1.13604215,,NiFe,111,surf-0touch,0.5,-2.304407,-0.0846754
NiCu,100,sub-row-near,0.333333333,-1.756667,1.46139265,,NiFe,111,surf-1touch,0.5,-2.176559,0.0431726
NiCu,100,sub-row-far,0.333333333,-1.7170725,1.50098715,,NiFe,111,sub-1touch,0.5,-2.043688,0.0729056
NiCu,100,sub-diag-near,0.166666667,-2.1204275,1.09763215,,NiFe,111,sub-2touch,0.5,-2.0494015,0.0671921
NiCu,100,sub-diag-far,0.166666667,-2.1352945,1.08276515,,NiFe,100,surf,1,-2.699195,0.3101046
NiCu,110,surf-0touch,0.166666667,-1.1812755,3.23702245,,NiFe,100,sub-0touch,0.5,-2.5462755,0.3587686
NiCu,110,surf-2touch,0.166666667,-0.6402735,3.77802445,,NiFe,100,sub-2touch,0.5,-2.606987,0.2980571
NiCu,110,surf-across,0.666666667,-1.583036,2.83526195,,NiFe,110,surf,1,-2.836127,1.5336119
NiCu,110,sub-row,0.333333333,-1.937626,2.63441495,,NiFe,110,sub-near,0.5,-2.7462205,1.5837309
NiCu,110,sub-across,0.666666667,-1.8575555,2.71448545,,NiFe,110,sub-far,0.5,-2.7613495,1.5686019
NiFe,111,surf-2touch,0.5,-1.7675315,0.4522001,,NiMn,111,surf-0touch,0.5,-2.4041545,-0.39855985
NiFe,111,surf-1touch,0.5,-1.5710445,0.6486871,,NiMn,111,surf-1touch,0.5,-2.183276,-0.17768135
NiFe,111,sub-2touch,0.5,-1.609261,0.5073326,,NiMn,111,sub-1touch,0.5,-2.040081,-0.08410735
NiFe,111,sub-1touch,0.5,-1.514855,0.6017386,,NiMn,111,sub-2touch,0.5,-2.0154805,-0.05950685
NiFe,100,surf-row,0.5,-1.825655,1.1836446,,NiMn,100,surf,1,-2.700578,0.06551865
NiFe,100,surf-diag,0.5,-2.188358,0.8209416,,NiMn,100,sub-0touch,0.5,-2.5487425,0.23518615
NiFe,100,sub-row-near,0.333333333,-1.662339,1.2427051,,NiMn,100,sub-2touch,0.5,-2.6173905,0.16653815
NiFe,100,sub-row-far,0.333333333,-1.582666,1.3223781,,NiMn,110,surf,1,-2.8536475,1.27052545
NiFe,100,sub-diag-near,0.166666667,-1.9947965,0.9102476,,NiMn,110,sub-near,0.5,-2.76847,1.42609495
NiFe,100,sub-diag-far,0.166666667,-2.0640185,0.8410256,,NiMn,110,sub-far,0.5,-2.765343,1.42922195
NiFe,110,surf-0touch,0.166666667,-1.1583975,3.2113414,,,,,,,
NiFe,110,surf-2touch,0.166666667,-1.6242195,2.7455194,,,,,,,
NiFe,110,surf-across,0.666666667,-1.8891535,2.4805854,,,,,,,
NiFe,110,sub-row,0.333333333,-1.829482,2.5004694,,,,,,,
NiFe,110,sub-across,0.666666667,-1.793691,2.5362604,,,,,,,
NiMn,111,surf-2touch,0.5,-1.8884725,0.11712215,,,,,,,
NiMn,111,surf-1touch,0.5,-1.625145,0.38044965,,,,,,,
NiMn,111,sub-2touch,0.5,-1.5945605,0.36141315,,,,,,,
NiMn,111,sub-1touch,0.5,-1.5107435,0.44523015,,,,,,,
NiMn,100,surf-row,0.5,-1.9573385,0.80875815,,,,,,,
NiMn,100,surf-diag,0.5,-2.250044,0.51605265,,,,,,,
NiMn,100,sub-row-near,0.333333333,-1.722057,1.06187165,,,,,,,
NiMn,100,sub-row-far,0.333333333,-1.6444415,1.13948715,,,,,,,
NiMn,100,sub-diag-near,0.166666667,-2.0615465,0.72238215,,,,,,,
NiMn,100,sub-diag-far,0.166666667,-2.111506,0.67242265,,,,,,,
NiMn,110,surf-0touch,0.166666667,-1.17305,2.95112295,,,,,,,
NiMn,110,surf-2touch,0.166666667,-1.7111875,2.41298545,,,,,,,
NiMn,110,surf-across,0.666666667,-1.936081,2.18809195,,,,,,,
NiMn,110,sub-row,0.333333333,-1.9429405,2.25162445,,,,,,,
NiMn,110,sub-across,0.666666667,-1.9996925,2.19487245,,,,,,,
